Text,Label
السادة الأفاضل بجريدة المصري اليوم عن الخبر المنشور حول إلغاء ندوة لي بنادي الشمس للدعاية الانتخابية الخبر غير صحيح,1
ألا يعلم الوزير المتدين أن الكذب حرام، وأن الله لن يقبل صلاته إذا كان كاذبا,0
:) #مصطفى_حسني ^__^,1
"الشتا اللي فات ""فيلم عظيم"" برافو",1
"وحدة الكيانات العربية هي جزء من أمنك القومي وحفاظاً على وحدة كيانك,إن لم تعي ذلك #…",0
الانقلابي جورج اسحق يشكو من تعسف الانقلاب انت لسه شفت حاجة بكره تبكى بدل الدموع دم وتقول ولا يوم من ايامك يا مرسي,0
الهجوم المتوقع على كرداسة متى يتوقفون عن قتل الاحرار؟ الانقلاب يمارس ويزرع الارهاب,0
ساويرس ظبطك على الاخر وعملك فورمات لمبادئك كل عيش يابو دم خفيف,0
الألم محسن كبير لأنه يجردنا من الغرور والدعوى #مي_زيادة,1
كل يوم يزداد ايماني ان ربي حبيبي معي يارب لك الحمد جميع الامور ميسره بكل حب,1
وحياة قلبي وأفراحه️ #الشباب_الاهلي ٣-٠,1
خليكوا فاكرين ان #6ابريل دول كانوا بيقولوا #مرسي عايز يأخون القضاء لما حب يطهره,0
 للأسف في مصر عندنا جميع أنواع السياحة ومش عارفين نستغلها! #كلام_و_كلام #السادة_المحترمون …,0
العبوات الناسفة والسيارات المفخخة مسرحيات هزلية عفا عليها الزمن ولم تعد تؤثر على الرأي العام نقول للسيسي كان المالكي أش…,0
اسحبوا الوثيقة الدستورية المشوهة نريد لجنة محايدة تضع ميثاق شرف نلتف حوله جميعاًأولويتنا هى توحيد الصفوف وليس المزيد من الصدام والفوضى,0
الله أكبر الله أكبرالله أكبر لا إله إلا الله تكبيرات العيد تبعث فى الوجدان طاقة إيمانية عظيمة كل عام وأنتم بخير,1
يجب على كل ابناء #الزمالك مساندة ميدو ودعمه بشكل كبير ميدو استطاع تغير اشياء كثيرة داخل النادى موجوده منذ زمن بعيد قوي,1
"صحيفة الفجر/ بيان رسمى""#وايت_نايتس"" تهاجم ""#مرتضى"" : جعلت #الزمالك عزبة لفساد - عبر تطبيق نبض",0
الأعداد في مسيرة مدينة نصر جبااااااااارة تذكرني ب ٢٨ يناير,1
اعتصام عمال ''بلاتنيوم'' داخل ميناء السخنة #حاميها_حرميها #الجيزة,0
#خليك_متحضر #معا_نحو_التحضر,1
شاهد- #فيفي_عبده راقصة سيذكرها التاريخ #الحكم #1,1
انقلاب ضد الاسلام أغلقوا القنوات الإسلامية وفتحوا القنوات الإباحية ويجدون من يصفق لهم ويهتف لسيسي,0
عزيزي الإخواني: اللي بيعصبك مش وصفي لرئيسك مرسي بإنه فاشلاللي بيعصبك إنك متأكد إنه فاشل بس لازم تشتم اللي بيقول عليه فاشل لتخفي فشلك وفشله,0
"لمن يعتقد ان صداقتي بجون ستيوارت اليهودي تهمة,شوفوا حلقاته:هاجم منع المآذن في سويسرا,ومنع مسجد منهاتن وهاجم اسرائيل في اللي بتعمله في غزة",1
مازلنا نعيش عهد اللافعل,0
شكرا كلامك كان رائعا,1
"? # #"" وجودكم يا شباب وغيرتكم علي بلدكم علي اختلاف افكاركم يملؤني بالتفاؤل",1
ده اللى اسمه تطوير العمل النقابى منهم لله #الإخوان كانوا خاربينها !! #نقابة_المهندسين,0
عار عار عار عار عار عار مانحن فيه عار الدماء أنهار والشهداء بالعشرات الرصاص فى الرأس والرقبة والصدر,0
4 شائعات الفاشيين وطيور الظلام وأصحاب المعايير المزدوجة من نشطاء وسياسيين وإعلاميين ورجال أعمال وموتورين في الخارج ستظل كاذبة,0
ﻫِﺠﺮﺓٌ ﺇﻟﻰ ﺍﻟﻠِﻪ -ﻋﺰ ﻭﺟﻞ- ﺑـ #اﻟﺘﻮﺣﻴﺪ ﻭ #ﺍﻹﺧﻼﺹ ﻭ #ﺍﻹﻧﺎﺑﺔ ﻭ #ﺍﻟﺘﻮﻛﻞ ﻭ #ﺍﻟﺨﻮﻑ ﻭ #ﺍﻟﺮﺟﺎﺀ ﻭ #ﺍﻟﻤﺤﺒﺔ ﻭ #ﺍﻟﺘﻮﺑﺔ,1
اكبر فوائد الانقلاب مصر الاخير عالميا فى مستوى المعيشة وفى التعليم الاساسي وبكرة تشوفو مصر,0
العملية نسر لم تفشل النسر هرب مع طائر النهضة عشان يتجوزوا عرفي و راجعين,0
يابوب ارجع محتاجينك بجد #ارجع_يا_بوب,1
امير عيد هو اللي فعلا يتقال عليه ستريكر صريح #كاريوكي #السكة_شمال,1
أشكركم جميعاً على وقتكم الثمين والساعة لا تكفي معكم,1
التليفزيون يعرض ميادين خالية اغلقها الجيش ويترك اربعين مليونا بلا تغطية درية شرف الدين فين مظاهرات الشعب اهوه,0
الآن محاضره عن الصحابي الجليل وخليفة رسول الله #عثمان_بن_عفان #ذو_النورين #إذاعه_القرآن,1
"يوسف الحسيني يفضح كذب قناة الجزيرة ويكشف تمثيل الاخوان """,0
فيلم الجزيرة #الصندوق_الأسود لأحداث #الإتحادية فضح الكثير انتظروا فيلم #المندس اللي هيفضح حاجات كمان وكمان #انتخبوا_العرص,0
__ #خلق_جميل احترام اي انسان فقط لأنه انسان مهما كانت ديانته,1
